Student ID,Gender,DOB,F.Name,L.Name,Faculty,Level of Education,Clubs,Campus Location,List of clubs
14789532,F,4/12/2002,Helena,Bees,Arts,Undergraduate,Basketball Club,Clayton Campus,Chess Club 
23784651,M,9/23/2003,Jordan,Cui,Information technology,Undergraduate,"Computer Engineering Club, Chess Club, Cheerleading Club",Clayton Campus,Computer Engineering Club
38956147,M,7/15/2001,Philip,Lee  ,Business & Economics,Undergraduate,Badminton Club,Caulfield Campus,Political Science Club
47682915,F,11/8/2004,Aysha,Smith  ,Engineering,Undergraduate,Art and Design Club,Clayton Campus,Badminton Club
56849372,F,5/29/2000,Madeline,Johnson  ,Law,Undergraduate,NA,Clayton Campus,Dance Club
63847519,F,2/2/2003,Christina,Williams  ,Medicine,PhD,Art and Design Club,Parkville Campus,Medicine Student's Club
72918365,M,6/17/2001,Melvin,Brown  ,Nursing,Undergraduate,Cheerleading Club,Clayton Campus,Basketball Club
84957126,F,8/24/2005,Marie,Jones  ,Health Science,PhD,Basketball Club,Clayton Campus,Debating Club
91623748,F,10/5/2002,Tamara,Garcia  ,Pharmaceutical  Science,Undergraduate,"Chess Club, Political Science Club",Parkville Campus,Art and Design Club
12849573,M,12/30/2000,David,Miller  ,Science,Undergraduate,Debating Club,Clayton Campus,Monash Vegan Society
23781649,M,3/18/2001,Dan,Davis  ,Education,Undergraduate,Medicine Student's Club,Clayton Campus,Cheerleading Club
36589217,M,7/7/2003,Jonny,Rodriguez  ,Arts,Postgraduate,Cheerleading Club,Caulfield Campus,Accounting Club
49817532,M,1/13/2004,Dave,Martinez  ,Information technology,Postgraduate,Computer Engineering Club,Clayton Campus,
57281946,F,9/26/2001,Sarah,Hernandez  ,Business & Economics,Postgraduate,Basketball Club,Caulfield Campus,
62183475,F,5/11/2002,Lauren,Lopez  ,Engineering,Undergraduate,NA,Clayton Campus,
71824563,M,8/2/2000,Andrew,Gonzalez  ,Law,PhD,"Debating Club, Political Science Club",Clayton Campus,
82547316,M,2/22/2004,Jon,Wilson  ,Medicine,Undergraduate,"Art and Design Club, Medicine Student's Club",Parkville Campus,
93758124,F,11/9/2005,Bertha,Anderson  ,Nursing,Postgraduate,Badminton Club,Clayton Campus,
14298657,M,6/28/2003,Samuel,Thomas  ,Health Science,PhD,Political Science Club,Parkville Campus,
25148397,F,9/19/2002,Millicent,Taylor  ,Pharmaceutical  Science,PhD,"Basketball Club, Political Science Club",Parkville Campus,
